"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 25 19:42:02 UTC 2026","Fri Sep 25 19:42:05 UTC 2026","2414","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","testHomePageNavigation","Verify homepage navigation and Get Started button","Navigates to the homepage and clicks the Get Started button"
"passed","Fri Sep 25 19:42:08 UTC 2026","Fri Sep 25 19:42:08 UTC 2026","109","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.RetryMechanismTest","io.github.mypixelquest.pja.examples.RetryMechanismTest","testWithoutRetry","Test that always passes - no retry needed","Demonstrates normal test execution without retries"
"passed","Fri Sep 25 19:42:01 UTC 2026","Fri Sep 25 19:42:01 UTC 2026","522","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.WaitStrategiesTest","io.github.mypixelquest.pja.examples.WaitStrategiesTest","testCustomTimeout","Demonstrate wait for timeout","Shows custom timeout configuration"
"passed","Fri Sep 25 19:42:05 UTC 2026","Fri Sep 25 19:42:05 UTC 2026","21","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.TestDataManagementTest","io.github.mypixelquest.pja.examples.TestDataManagementTest","testCsvDataLoading","Demonstrate CSV data loading","Loads and uses data from CSV files"
"passed","Fri Sep 25 19:42:02 UTC 2026","Fri Sep 25 19:42:03 UTC 2026","1342","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.FormInteractionTest","io.github.mypixelquest.pja.examples.FormInteractionTest","testFormFieldInteractions","Test form field interactions","Demonstrates various form field interactions"
"passed","Fri Sep 25 19:41:59 UTC 2026","Fri Sep 25 19:42:00 UTC 2026","1105","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.ScreenshotAndReportingTest","io.github.mypixelquest.pja.examples.ScreenshotAndReportingTest","testSuccessfulScreenshot","Successful test with screenshot attachment","Demonstrates screenshot capture on successful test"
"passed","Fri Sep 25 19:42:10 UTC 2026","Fri Sep 25 19:42:10 UTC 2026","74","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.ParallelExecutionTest","io.github.mypixelquest.pja.examples.ParallelExecutionTest","parallelTest2","Parallel test 2 - Navigate to different page","Second parallel test demonstrating thread-safe execution"
"passed","Fri Sep 25 19:42:05 UTC 2026","Fri Sep 25 19:42:05 UTC 2026","3","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.TestDataManagementTest","io.github.mypixelquest.pja.examples.TestDataManagementTest","testYamlDataLoading","Demonstrate YAML data loading","Loads and uses data from YAML files"
"passed","Fri Sep 25 19:42:08 UTC 2026","Fri Sep 25 19:42:08 UTC 2026","399","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.DataDrivenTest","io.github.mypixelquest.pja.examples.DataDrivenTest","testWithCsvData","Data-driven test using CSV data","Loads test data from CSV and uses it in test"
"passed","Fri Sep 25 19:42:12 UTC 2026","Fri Sep 25 19:42:13 UTC 2026","973","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.MultiBrowserTest","io.github.mypixelquest.pja.examples.MultiBrowserTest","testCrossBrowserElementInteraction","Test element interaction across browsers","Demonstrates element interaction works consistently across browsers"
"passed","Fri Sep 25 19:42:01 UTC 2026","Fri Sep 25 19:42:01 UTC 2026","167","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.WaitStrategiesTest","io.github.mypixelquest.pja.examples.WaitStrategiesTest","testExplicitWaitForNavigation","Demonstrate explicit wait for navigation","Shows explicit wait for page navigation"
"passed","Fri Sep 25 19:42:12 UTC 2026","Fri Sep 25 19:42:12 UTC 2026","310","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.MultiBrowserTest","io.github.mypixelquest.pja.examples.MultiBrowserTest","testCrossBrowserNavigation","Test navigation across different browsers","Demonstrates that the same test can run on Chromium, Firefox, or WebKit"
