"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Framework Capabilities","Parallel Execution","Parallel Execution","0","0","3","0","0"
"","","Test Data Management","0","0","4","0","0"
"Web Playwright Java Framework","Playwright Documentation Navigation","Search Functionality","0","0","1","0","0"
"Framework Capabilities","Data-Driven Testing","Data-Driven Testing","0","0","3","0","0"
"Framework Capabilities","Wait Strategies","Wait Strategies","0","0","4","0","0"
"Web Playwright Java Framework","Playwright Documentation Navigation","Homepage Navigation","0","0","1","0","0"
"Web Playwright Java Framework","Playwright Documentation Navigation","Tools Navigation","0","0","1","0","0"
"Framework Capabilities","Screenshot and Reporting","Allure Reporting","0","0","1","0","0"
"Framework Capabilities","Screenshot and Reporting","Screenshot Capture","0","0","1","0","0"
"Framework Capabilities","Multi-Browser Testing","Multi-Browser Testing","0","0","2","0","0"
"Web Playwright Java Framework","Playwright Documentation Navigation","Language Documentation","0","0","1","0","0"
"Framework Capabilities","Form Interaction","Form Interaction","0","0","2","0","0"
"Framework Capabilities","Retry Mechanism","Retry Mechanism","0","0","2","0","0"
