"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 26 12:02:02 UTC 2026","Sat Sep 26 12:02:02 UTC 2026","148","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.ParallelExecutionTest","io.github.mypixelquest.pja.examples.ParallelExecutionTest","parallelTest2","Parallel test 2 - Navigate to different page","Second parallel test demonstrating thread-safe execution"
"passed","Sat Sep 26 12:02:08 UTC 2026","Sat Sep 26 12:02:08 UTC 2026","0","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.TestDataManagementTest","io.github.mypixelquest.pja.examples.TestDataManagementTest","testYamlDataLoading","Demonstrate YAML data loading","Loads and uses data from YAML files"
"passed","Sat Sep 26 12:02:08 UTC 2026","Sat Sep 26 12:02:08 UTC 2026","0","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.TestDataManagementTest","io.github.mypixelquest.pja.examples.TestDataManagementTest","testJsonDataLoading","Demonstrate JSON data loading","Loads and uses data from JSON files"
"passed","Sat Sep 26 12:02:04 UTC 2026","Sat Sep 26 12:02:05 UTC 2026","1406","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","testSearch","Verify search functionality","Opens search dialog and verifies it's visible"
"passed","Sat Sep 26 12:01:55 UTC 2026","Sat Sep 26 12:01:56 UTC 2026","462","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.DataDrivenTest","io.github.mypixelquest.pja.examples.DataDrivenTest","testWithYamlData","Data-driven test using YAML data","Loads test data from YAML and uses it in test"
"passed","Sat Sep 26 12:02:09 UTC 2026","Sat Sep 26 12:02:09 UTC 2026","398","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.WaitStrategiesTest","io.github.mypixelquest.pja.examples.WaitStrategiesTest","testAutoWaitForVisibility","Demonstrate auto-waiting for element visibility","Shows Playwright's automatic waiting for elements"
"passed","Sat Sep 26 12:02:02 UTC 2026","Sat Sep 26 12:02:03 UTC 2026","1790","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","testHomePageNavigation","Verify homepage navigation and Get Started button","Navigates to the homepage and clicks the Get Started button"
"passed","Sat Sep 26 12:02:05 UTC 2026","Sat Sep 26 12:02:08 UTC 2026","2698","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","testToolsNavigation","Navigate to Playwright tools","Navigates to various Playwright tools (Codegen, Inspector, Trace Viewer)"
"passed","Sat Sep 26 12:02:10 UTC 2026","Sat Sep 26 12:02:11 UTC 2026","429","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.WaitStrategiesTest","io.github.mypixelquest.pja.examples.WaitStrategiesTest","testCustomTimeout","Demonstrate wait for timeout","Shows custom timeout configuration"
"passed","Sat Sep 26 12:02:09 UTC 2026","Sat Sep 26 12:02:09 UTC 2026","413","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.ScreenshotAndReportingTest","io.github.mypixelquest.pja.examples.ScreenshotAndReportingTest","testWithSteps","Test with step annotations for reporting","Demonstrates Allure step annotations for detailed reporting"
"passed","Sat Sep 26 12:02:07 UTC 2026","Sat Sep 26 12:02:08 UTC 2026","1374","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.ScreenshotAndReportingTest","io.github.mypixelquest.pja.examples.ScreenshotAndReportingTest","testSuccessfulScreenshot","Successful test with screenshot attachment","Demonstrates screenshot capture on successful test"
"passed","Sat Sep 26 12:02:08 UTC 2026","Sat Sep 26 12:02:08 UTC 2026","6","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.TestDataManagementTest","io.github.mypixelquest.pja.examples.TestDataManagementTest","testDynamicDataGeneration","Demonstrate dynamic data generation","Generates and uses dynamic test data"
"passed","Sat Sep 26 12:01:56 UTC 2026","Sat Sep 26 12:01:56 UTC 2026","995","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.DataDrivenTest","io.github.mypixelquest.pja.examples.DataDrivenTest","testWithJsonData","Data-driven test using JSON data","Loads test data from JSON and uses it in test"
"passed","Sat Sep 26 12:02:00 UTC 2026","Sat Sep 26 12:02:01 UTC 2026","387","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.MultiBrowserTest","io.github.mypixelquest.pja.examples.MultiBrowserTest","testCrossBrowserNavigation","Test navigation across different browsers","Demonstrates that the same test can run on Chromium, Firefox, or WebKit"
"passed","Sat Sep 26 12:02:08 UTC 2026","Sat Sep 26 12:02:08 UTC 2026","11","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.TestDataManagementTest","io.github.mypixelquest.pja.examples.TestDataManagementTest","testCsvDataLoading","Demonstrate CSV data loading","Loads and uses data from CSV files"
"passed","Sat Sep 26 12:02:04 UTC 2026","Sat Sep 26 12:02:05 UTC 2026","650","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","io.github.mypixelquest.pja.examples.PlaywrightDocsNavigationTest","testJavaDocumentation","Navigate to Java documentation","Navigates to Java-specific documentation and verifies the URL"
"passed","Sat Sep 26 12:02:11 UTC 2026","Sat Sep 26 12:02:12 UTC 2026","264","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.WaitStrategiesTest","io.github.mypixelquest.pja.examples.WaitStrategiesTest","testWaitForSelectorState","Demonstrate wait for selector state","Shows waiting for specific selector states"
"passed","Sat Sep 26 12:01:58 UTC 2026","Sat Sep 26 12:01:59 UTC 2026","761","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.MultiBrowserTest","io.github.mypixelquest.pja.examples.MultiBrowserTest","testCrossBrowserElementInteraction","Test element interaction across browsers","Demonstrates element interaction works consistently across browsers"
"passed","Sat Sep 26 12:01:57 UTC 2026","Sat Sep 26 12:01:59 UTC 2026","1644","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.FormInteractionTest","io.github.mypixelquest.pja.examples.FormInteractionTest","testFormFieldInteractions","Test form field interactions","Demonstrates various form field interactions"
"passed","Sat Sep 26 12:01:58 UTC 2026","Sat Sep 26 12:01:59 UTC 2026","1588","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.FormInteractionTest","io.github.mypixelquest.pja.examples.FormInteractionTest","testFormSubmission","Test form submission","Demonstrates filling and submitting a form"
"passed","Sat Sep 26 12:02:10 UTC 2026","Sat Sep 26 12:02:11 UTC 2026","329","Web Playwright Java Framework Test Suite","All Example Tests","io.github.mypixelquest.pja.examples.WaitStrategiesTest","io.github.mypixelquest.pja.examples.WaitStrategiesTest","testExplicitWaitForNavigation","Demonstrate explicit wait for navigation","Shows explicit wait for page navigation"
